source_url,normalized_source_url,title,platform,author,published_date,access_date,stable_source_id
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）","スマイティ","30代 女性（未婚）","2016-02-17","2026-03-10","No.61414"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）","スマイティ","～10代 女性（未婚）","2016-01-14","2026-03-10","No.60253"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）","スマイティ","30代 男性（未婚）","2015-07-08","2026-03-10","No.54629"
"https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/?page=3","https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/","（3ページ目）東戸塚駅の住みやすさ - クチコミ・街レビュー（神奈川県横浜市戸塚区）【スマイティ】","スマイティ","40代 男性（既婚）","2014-09-16","2026-03-10","No.40786"
"https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/?page=3","https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/","（3ページ目）東戸塚駅の住みやすさ - クチコミ・街レビュー（神奈川県横浜市戸塚区）【スマイティ】","スマイティ","50代 女性（既婚）","2014-09-12","2026-03-10","No.40432"
"https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/?page=3","https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/","（3ページ目）東戸塚駅の住みやすさ - クチコミ・街レビュー（神奈川県横浜市戸塚区）【スマイティ】","スマイティ","60代～ 男性（既婚）","2014-08-24","2026-03-10","No.36990"
"https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/?page=3","https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/","（3ページ目）東戸塚駅の住みやすさ - クチコミ・街レビュー（神奈川県横浜市戸塚区）【スマイティ】","スマイティ","60代～ 男性（未婚）","2014-08-24","2026-03-10","No.36782"
"https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/?page=3","https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/","（3ページ目）東戸塚駅の住みやすさ - クチコミ・街レビュー（神奈川県横浜市戸塚区）【スマイティ】","スマイティ","20代 男性（未婚）","2014-08-08","2026-03-10","No.35291"
"https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/?page=3","https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/","（3ページ目）東戸塚駅の住みやすさ - クチコミ・街レビュー（神奈川県横浜市戸塚区）【スマイティ】","スマイティ","30代 男性（既婚）","2014-04-16","2026-03-10","No.17955"
"https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/?page=4","https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/","（4ページ目）東戸塚駅の住みやすさ - クチコミ・街レビュー（神奈川県横浜市戸塚区）【スマイティ】","スマイティ","30代 女性（既婚）","2014-04-16","2026-03-10","No.17833"
